timestamp,x,y,z
0,1.55,3.74,7.68
10,1.52,3.73,7.63
20,1.59,3.74,7.54
30,1.74,3.8,7.57
40,1.93,3.9,7.69
50,2.16,4.02,7.81
60,2.42,4.17,7.93
70,2.71,4.26,8.03
80,2.93,4.3,8.07
90,3.19,4.42,8.18
100,3.77,4.82,8.4
110,4.47,5.4,8.7
120,5.33,5.83,8.71
130,6.3,6.13,8.43
140,6.87,5.82,7.74
150,6.77,5.05,6.93
160,6.56,4.07,6.11
170,6.19,3.07,5.71
180,5.92,2.56,5.52
190,6.08,2.45,5.28
200,6.69,2.65,5.04
210,7.33,2.7,4.76
220,7.95,2.66,4.28
230,8.2,2.48,3.65
240,8.11,2.14,2.91
250,7.87,1.69,2.49
260,7.37,1.27,1.9
270,6.77,0.53,1.62
280,5.96,-0.3,1.3
290,5.13,-1.22,1.45
300,4.13,-2.0,1.66
310,3.05,-2.64,2.4
320,2.14,-2.82,3.43
330,1.23,-2.87,4.48
340,0.09,-3.01,5.17
350,-1.01,-3.26,5.7
360,-2.07,-3.33,6.04
370,-2.85,-3.57,6.46
380,-3.58,-3.88,6.9
390,-4.54,-4.03,7.59
400,-5.54,-4.42,8.39
410,-6.54,-4.85,8.95
420,-7.15,-5.31,9.52
430,-7.48,-5.61,10.29
440,-7.66,-5.49,11.29
450,-7.55,-5.14,12.24
460,-7.07,-4.7,13.01
470,-6.79,-4.38,13.77
480,-6.65,-4.18,14.43
490,-6.79,-4.02,15.25
500,-6.83,-3.35,16.34
510,-6.58,-2.49,17.75
520,-6.27,-1.6,18.6
530,-5.91,-1.14,19.49
540,-5.76,-0.75,20.23
550,-5.39,-0.39,20.41
560,-4.9,-0.4,20.04
570,-4.4,-0.81,19.48
580,-3.71,-1.2,19.29
590,-2.61,-1.27,19.71
600,-0.85,-0.74,20.39
610,1.57,-0.03,21.48
620,3.95,1.0,22.08
630,6.02,1.87,22.16
640,7.74,2.26,21.92
650,8.89,2.12,21.37
660,9.33,1.61,20.53
670,9.81,1.08,19.66
680,10.34,0.73,18.82
690,11.01,0.44,18.15
700,11.33,0.04,17.25
710,11.77,-0.57,15.92
720,12.25,-1.07,14.24
730,12.5,-1.51,12.6
740,12.66,-1.76,10.99
750,12.42,-1.83,9.53
760,12.03,-2.07,8.37
770,11.56,-2.41,7.18
780,10.95,-2.74,6.26
790,10.16,-3.05,5.49
800,9.35,-3.34,4.71
810,8.74,-3.31,3.98
820,7.96,-3.22,3.22
830,7.53,-3.0,2.66
840,7.22,-2.83,2.19
850,6.77,-2.5,1.79
860,6.2,-2.15,1.41
870,5.26,-2.2,1.25
880,4.06,-1.87,1.15
890,2.88,-1.86,1.03
900,1.85,-1.63,1.12
910,0.88,-1.58,1.38
920,-0.23,-1.13,1.68
930,-1.5,-0.5,2.03
940,-2.6,0.21,2.38
950,-3.69,0.95,2.66
960,-4.77,1.54,3.12
970,-5.64,1.83,4.23
980,-6.38,1.81,5.35
990,-6.98,1.79,6.47
1000,-7.36,1.8,7.41
