timestamp,x,y,z
0,0.48,7.84,5.23
10,0.49,7.78,5.19
20,0.53,7.68,5.12
30,0.6,7.6,5.03
40,0.69,7.5,4.89
50,0.79,7.39,4.75
60,0.89,7.27,4.56
70,1.0,7.12,4.38
80,1.17,6.97,4.14
90,1.34,6.73,3.9
100,1.54,6.42,3.57
110,1.88,6.03,3.22
120,2.38,5.62,2.77
130,2.87,5.21,2.21
140,3.17,4.56,1.63
150,3.2,3.91,1.11
160,3.1,3.23,0.5
170,3.24,2.51,0.04
180,3.28,1.66,-0.78
190,3.49,0.86,-1.78
200,3.47,-0.28,-2.83
210,3.25,-1.3,-3.56
220,3.07,-2.07,-3.93
230,2.88,-2.67,-3.92
240,2.84,-2.9,-3.53
250,3.19,-2.98,-3.04
260,3.74,-2.96,-2.43
270,4.33,-3.0,-1.81
280,4.79,-3.21,-1.23
290,5.11,-3.61,-0.84
300,4.93,-4.05,-0.33
310,4.34,-4.61,0.92
320,4.0,-5.03,2.83
330,2.94,-5.6,4.95
340,2.09,-5.95,7.12
350,2.24,-6.05,8.43
360,2.88,-5.94,10.45
370,3.07,-5.9,12.73
380,1.78,-5.74,15.73
390,0.62,-5.41,18.58
400,-0.58,-5.11,20.8
410,-1.99,-4.41,22.43
420,-1.54,-3.29,23.41
430,-0.76,-2.42,23.76
440,-0.69,-1.61,24.62
450,-1.14,-1.35,25.47
460,-1.25,-1.21,26.01
470,-1.11,-0.49,26.55
480,-0.83,0.49,27.27
490,-1.09,1.11,27.99
500,-1.34,1.52,28.54
510,-1.7,1.47,28.8
520,-2.07,1.24,28.77
530,-2.34,1.17,28.42
540,-2.23,1.21,27.7
550,-2.01,1.07,26.55
560,-1.57,0.92,25.19
570,-0.86,0.82,23.85
580,-0.24,0.78,22.67
590,0.46,0.68,21.65
600,1.09,0.56,20.71
610,1.6,0.39,19.87
620,1.78,0.05,19.1
630,1.73,-0.38,18.33
640,1.74,-0.91,17.4
650,1.8,-1.3,16.31
660,1.8,-1.64,15.2
670,1.76,-1.95,14.08
680,1.74,-2.14,12.9
690,1.84,-2.31,11.62
700,1.89,-2.38,10.3
710,1.87,-2.33,9.02
720,1.92,-2.34,7.65
730,1.83,-2.37,6.4
740,1.83,-2.38,5.21
750,1.76,-2.38,4.17
760,1.56,-2.32,3.32
770,1.42,-2.21,2.5
780,1.22,-2.16,1.75
790,0.91,-2.11,1.1
800,0.8,-1.92,0.66
810,0.62,-1.7,0.61
820,0.45,-1.27,0.73
830,0.33,-0.78,0.86
840,0.22,-0.31,1.06
850,0.09,0.14,1.28
860,0.05,0.6,1.53
870,0.11,1.06,1.83
880,0.27,1.59,2.13
890,0.42,2.1,2.6
900,0.32,2.47,3.05
910,0.08,2.75,3.21
920,-0.17,2.97,3.31
930,-0.47,3.08,3.54
940,-0.74,3.16,3.81
950,-0.88,3.18,4.12
960,-0.78,3.44,4.5
970,-0.41,3.94,4.94
980,-0.05,4.42,5.27
990,0.1,4.85,5.61
1000,0.05,5.05,5.87
