timestamp,x,y,z
0,3.91,4.7,6.84
10,3.9,4.68,6.83
20,3.94,4.69,6.82
30,4.0,4.65,6.83
40,4.11,4.59,6.82
50,4.23,4.51,6.79
60,4.4,4.43,6.72
70,4.67,4.35,6.62
80,4.97,4.28,6.58
90,5.3,4.22,6.52
100,5.65,4.15,6.49
110,5.99,3.98,6.4
120,6.4,3.69,6.28
130,7.0,3.4,6.16
140,7.87,2.97,6.19
150,8.94,2.55,6.31
160,10.16,2.06,6.34
170,11.4,1.78,6.19
180,12.44,1.35,6.05
190,13.72,1.13,5.39
200,14.58,1.18,4.77
210,14.79,1.41,4.3
220,14.6,1.64,3.55
230,13.76,2.12,3.22
240,12.44,2.37,3.03
250,11.13,2.69,2.92
260,9.92,3.2,3.01
270,8.64,3.48,3.37
280,6.95,3.36,3.65
290,5.28,2.77,4.32
300,2.95,2.19,4.64
310,0.64,1.48,4.92
320,-1.68,0.64,5.62
330,-3.76,0.21,7.1
340,-5.92,-0.52,8.86
350,-7.88,-1.14,10.81
360,-9.43,-1.83,12.42
370,-10.56,-2.26,13.49
380,-11.39,-2.42,14.41
390,-12.11,-2.57,14.86
400,-12.64,-2.79,15.24
410,-13.57,-2.76,14.74
420,-14.45,-2.95,13.65
430,-15.56,-2.96,12.3
440,-16.3,-3.03,11.23
450,-17.14,-3.16,10.44
460,-18.26,-3.12,10.36
470,-19.39,-3.55,10.85
480,-19.87,-4.3,11.11
490,-19.39,-4.8,11.08
500,-17.62,-5.53,10.66
510,-14.8,-6.04,10.03
520,-11.29,-6.35,8.92
530,-6.96,-6.24,8.03
540,-2.34,-5.79,7.87
550,3.06,-4.81,8.42
560,8.49,-3.8,9.21
570,12.99,-2.96,9.48
580,16.25,-2.52,9.15
590,19.07,-1.89,9.1
600,21.3,-1.14,9.02
610,22.54,-0.62,8.93
620,23.82,0.08,9.16
630,24.88,0.76,9.55
640,25.07,1.47,9.65
650,24.72,2.09,9.46
660,23.85,2.11,9.02
670,22.45,1.54,8.33
680,20.61,0.84,7.74
690,18.72,0.17,7.3
700,17.43,-0.62,7.03
710,16.65,-1.4,7.14
720,15.91,-1.89,7.74
730,15.02,-2.29,8.36
740,14.31,-2.69,8.38
750,13.59,-2.89,7.96
760,12.79,-3.05,7.51
770,11.82,-2.98,7.04
780,10.57,-2.67,6.9
790,9.19,-2.64,6.89
800,7.27,-2.54,6.7
810,5.55,-2.43,6.73
820,3.94,-2.56,6.96
830,2.27,-2.71,7.32
840,0.13,-3.17,7.87
850,-2.24,-3.48,8.86
860,-4.74,-3.64,9.62
870,-6.7,-3.7,10.24
880,-8.11,-3.71,10.82
890,-8.8,-3.52,11.54
900,-9.1,-3.28,12.44
910,-9.02,-3.08,13.49
920,-8.79,-2.75,14.27
930,-8.25,-2.51,14.65
940,-7.46,-2.31,14.56
950,-6.4,-2.04,14.11
960,-5.64,-1.75,13.63
970,-4.73,-1.4,13.09
980,-3.65,-0.99,12.63
990,-2.59,-0.53,12.06
1000,-1.59,-0.22,11.45
